wpa,abierta,wep,ccmp,tkip,banda,canal,senal,radio,resultado
1,0,0,1,0,2.4,3,98,2,1
1,0,0,0,1,5,5,75,2,0
1,0,0,1,0,6,5,77,1,1
0,1,0,0,0,2.4,3,27,1,0
0,1,0,0,0,2.4,1,54,2,0
0,0,1,0,1,2.4,1,89,1,0
0,1,0,0,0,6,6,72,2,0
0,1,0,0,0,5,4,100,2,0
1,0,0,1,0,5,11,86,1,1
1,0,0,1,0,6,12,33,1,1
0,1,0,0,0,6,13,85,1,0
0,1,0,0,0,6,1,34,2,0
0,1,0,0,0,5,4,89,2,0
0,1,0,0,0,6,8,45,1,0
0,1,0,0,0,2.4,8,94,1,0
1,0,0,0,1,6,4,34,2,0
0,1,0,0,0,2.4,2,53,2,0
1,0,0,0,1,6,8,93,0,0
1,0,0,1,0,6,2,48,0,1
0,1,0,0,0,2.4,13,34,0,0
0,1,0,0,0,2.4,1,41,2,0
0,1,0,0,0,2.4,1,50,0,0
0,1,0,0,0,6,1,58,2,0
1,0,0,0,1,6,6,41,0,0
1,0,0,0,1,5,4,97,0,0
0,0,1,1,0,5,11,38,0,0
1,0,0,0,1,6,9,60,2,0
0,0,1,1,0,2.4,4,93,0,0
1,0,0,1,0,5,10,29,0,1
1,0,0,0,1,5,13,97,0,0
1,0,0,1,0,2.4,3,32,0,1
0,1,0,0,0,2.4,2,25,2,0
1,0,0,0,1,6,13,80,0,0
1,0,0,0,1,2.4,10,98,0,0
1,0,0,1,0,6,1,79,1,1
0,1,0,0,0,2.4,5,92,1,0
1,0,0,1,0,2.4,5,20,1,1
0,1,0,0,0,5,1,43,1,0
0,0,1,0,1,6,10,68,2,0
0,0,1,0,1,2.4,10,42,1,0
0,1,0,0,0,5,12,86,2,0
0,1,0,0,0,5,5,58,1,0
0,1,0,0,0,2.4,10,22,0,0
0,1,0,0,0,2.4,13,99,1,0
0,1,0,0,0,5,3,96,2,0
0,0,1,1,0,5,5,60,1,0
0,1,0,0,0,6,5,94,0,0
1,0,0,1,0,5,13,21,1,1
0,1,0,0,0,2.4,3,77,0,0
0,1,0,0,0,6,5,28,1,0
0,0,1,1,0,2.4,9,88,2,0
0,1,0,0,0,6,7,64,2,0
0,1,0,0,0,2.4,9,33,1,0
0,1,0,0,0,6,13,22,1,0
0,1,0,0,0,6,10,25,0,0
1,0,0,0,1,2.4,1,77,2,0
0,0,1,1,0,2.4,9,36,0,0
0,1,0,0,0,6,6,50,0,0
0,1,0,0,0,2.4,7,67,0,0
0,0,1,0,1,5,3,80,2,0
0,1,0,0,0,2.4,8,57,2,0
1,0,0,0,1,2.4,1,37,2,0
0,0,1,1,0,5,1,67,0,0
0,1,0,0,0,2.4,12,34,0,0
0,0,1,1,0,5,11,44,1,0
1,0,0,1,0,5,1,42,0,1
1,0,0,0,1,2.4,13,59,2,0
0,1,0,0,0,5,9,55,1,0
1,0,0,0,1,2.4,9,94,1,0
0,1,0,0,0,5,4,75,2,0
0,1,0,0,0,5,7,25,1,0
0,1,0,0,0,6,13,53,2,0
1,0,0,0,1,2.4,11,80,0,0
0,0,1,0,1,6,2,29,2,0
1,0,0,0,1,5,5,56,1,0
0,1,0,0,0,2.4,7,100,2,0
0,1,0,0,0,5,11,37,2,0
0,0,1,0,1,5,5,28,0,0
1,0,0,1,0,5,2,88,0,1
0,1,0,0,0,6,4,40,1,0
1,0,0,0,1,5,13,94,1,0
0,1,0,0,0,6,4,24,0,0
0,1,0,0,0,5,12,38,1,0
0,1,0,0,0,5,8,35,2,0
0,0,1,1,0,6,2,20,1,0
0,1,0,0,0,6,3,83,0,0
0,0,1,1,0,5,9,90,2,0
1,0,0,1,0,2.4,6,43,2,1
0,1,0,0,0,2.4,2,96,1,0
0,1,0,0,0,6,3,64,1,0
0,1,0,0,0,2.4,6,72,1,0
0,1,0,0,0,6,2,96,2,0
0,1,0,0,0,5,4,44,2,0
0,0,1,1,0,5,8,56,1,0
0,1,0,0,0,2.4,13,30,1,0
1,0,0,0,1,5,5,96,0,0
0,1,0,0,0,5,3,35,0,0
1,0,0,1,0,2.4,3,33,0,1
0,1,0,0,0,2.4,2,70,1,0
0,1,0,0,0,2.4,7,36,2,0
1,0,0,0,1,2.4,5,86,2,0
1,0,0,1,0,5,1,68,0,1
0,1,0,0,0,5,7,54,0,0
0,1,0,0,0,2.4,5,48,0,0
0,1,0,0,0,6,2,27,0,0
1,0,0,0,1,5,12,31,2,0
1,0,0,0,1,6,9,85,1,0
0,1,0,0,0,2.4,9,44,1,0
1,0,0,1,0,2.4,11,50,1,1
0,1,0,0,0,5,12,63,1,0
0,0,1,0,1,6,12,66,2,0
1,0,0,0,1,2.4,3,78,1,0
1,0,0,0,1,2.4,12,58,2,0
0,1,0,0,0,6,12,99,1,0
1,0,0,1,0,2.4,11,67,1,1
0,1,0,0,0,5,11,51,2,0
0,1,0,0,0,5,2,91,1,0
0,1,0,0,0,2.4,11,85,0,0
1,0,0,1,0,5,5,21,1,1
0,1,0,0,0,5,10,44,0,0
1,0,0,0,1,5,8,77,0,0
1,0,0,0,1,5,2,81,0,0
0,1,0,0,0,5,5,41,2,0
1,0,0,0,1,5,11,69,1,0
0,1,0,0,0,2.4,11,58,0,0
1,0,0,1,0,6,2,63,0,1
1,0,0,1,0,2.4,1,56,2,1
0,0,1,1,0,6,9,52,2,0
0,1,0,0,0,6,12,94,1,0
0,1,0,0,0,5,12,80,1,0
0,1,0,0,0,6,5,35,1,0
1,0,0,0,1,6,10,30,0,0
0,1,0,0,0,6,5,31,0,0
0,1,0,0,0,2.4,3,91,2,0
1,0,0,1,0,6,7,56,0,1
0,1,0,0,0,2.4,13,44,0,0
0,0,1,0,1,5,9,43,0,0
0,1,0,0,0,6,13,56,2,0
0,1,0,0,0,5,12,95,0,0
0,1,0,0,0,5,4,80,1,0
1,0,0,0,1,6,10,85,2,0
0,1,0,0,0,5,1,27,1,0
0,1,0,0,0,2.4,12,40,2,0
0,1,0,0,0,6,8,72,1,0
0,1,0,0,0,2.4,5,87,0,0
0,0,1,0,1,5,2,97,1,0
0,1,0,0,0,5,4,42,1,0
1,0,0,0,1,6,5,47,0,0
0,1,0,0,0,2.4,13,33,0,0
0,1,0,0,0,2.4,13,99,2,0
0,1,0,0,0,2.4,13,75,1,0
0,1,0,0,0,6,11,50,0,0
0,0,1,0,1,5,7,38,0,0
0,0,1,0,1,5,13,22,1,0
0,1,0,0,0,2.4,9,23,1,0
1,0,0,1,0,2.4,9,81,0,1
0,0,1,0,1,2.4,6,28,1,0
0,1,0,0,0,2.4,6,20,1,0
0,1,0,0,0,5,7,57,2,0
1,0,0,1,0,2.4,4,84,2,1
0,1,0,0,0,2.4,1,55,1,0
0,0,1,0,1,2.4,1,47,0,0
1,0,0,1,0,5,9,30,2,1
0,1,0,0,0,2.4,7,90,2,0
0,1,0,0,0,2.4,2,21,1,0
0,1,0,0,0,5,2,72,0,0
0,1,0,0,0,2.4,6,55,0,0
0,1,0,0,0,6,9,35,1,0
0,1,0,0,0,5,6,28,0,0
1,0,0,0,1,5,2,87,1,0
0,1,0,0,0,6,1,25,1,0
0,1,0,0,0,2.4,10,26,0,0
0,1,0,0,0,2.4,7,43,2,0
1,0,0,1,0,2.4,8,28,2,1
0,1,0,0,0,5,9,50,1,0
0,0,1,0,1,2.4,5,73,1,0
1,0,0,1,0,5,4,73,2,1
0,1,0,0,0,5,2,35,0,0
1,0,0,1,0,2.4,8,73,2,1
0,0,1,1,0,5,1,97,1,0
1,0,0,0,1,2.4,12,51,1,0
1,0,0,1,0,5,9,44,0,1
0,0,1,1,0,5,8,44,0,0
0,1,0,0,0,5,1,37,2,0
0,0,1,1,0,6,11,26,2,0
1,0,0,1,0,2.4,11,42,1,1
0,1,0,0,0,2.4,12,82,1,0
0,0,1,1,0,2.4,10,79,0,0
0,1,0,0,0,5,4,42,2,0
0,1,0,0,0,6,8,82,2,0
0,1,0,0,0,2.4,2,46,0,0
1,0,0,1,0,6,2,31,1,1
0,1,0,0,0,6,5,85,2,0
1,0,0,1,0,5,11,30,2,1
0,1,0,0,0,2.4,13,27,1,0
0,1,0,0,0,6,12,41,2,0
1,0,0,1,0,2.4,13,76,1,1
0,0,1,1,0,6,2,68,0,0
0,1,0,0,0,5,2,68,0,0
0,0,1,0,1,5,5,47,1,0
1,0,0,0,1,2.4,8,30,1,0
1,0,0,0,1,5,8,67,2,0
1,0,0,1,0,2.4,5,67,0,1
0,0,1,1,0,5,1,30,0,0
0,1,0,0,0,2.4,8,32,1,0
1,0,0,1,0,2.4,5,27,2,1
0,0,1,0,1,6,7,94,1,0
1,0,0,1,0,2.4,1,41,2,1
0,1,0,0,0,6,11,39,2,0
0,0,1,0,1,5,12,22,2,0
0,0,1,1,0,6,6,38,0,0
0,1,0,0,0,2.4,1,90,0,0
0,1,0,0,0,2.4,7,38,2,0
0,0,1,1,0,2.4,9,95,0,0
0,1,0,0,0,5,8,31,1,0
0,1,0,0,0,2.4,10,61,2,0
0,1,0,0,0,6,7,93,0,0
0,1,0,0,0,5,2,94,1,0
0,1,0,0,0,5,12,43,1,0
0,1,0,0,0,6,8,43,2,0
0,1,0,0,0,5,3,95,2,0
0,1,0,0,0,5,6,74,2,0
0,0,1,0,1,6,12,45,1,0
0,1,0,0,0,2.4,11,43,0,0
0,0,1,1,0,6,11,90,0,0
1,0,0,1,0,2.4,12,95,1,1
0,0,1,0,1,2.4,5,38,1,0
1,0,0,1,0,2.4,4,21,2,1
0,0,1,1,0,2.4,8,21,2,0
1,0,0,0,1,2.4,3,58,2,0
0,1,0,0,0,5,4,85,1,0
0,1,0,0,0,5,5,57,2,0
0,0,1,1,0,6,3,34,0,0
1,0,0,0,1,6,7,40,2,0
0,1,0,0,0,6,10,57,2,0
0,0,1,1,0,6,10,56,0,0
1,0,0,0,1,2.4,6,30,1,0
0,1,0,0,0,5,9,24,1,0
0,1,0,0,0,5,1,74,2,0
0,1,0,0,0,6,11,22,0,0
0,1,0,0,0,6,2,39,1,0
0,1,0,0,0,6,7,21,0,0
1,0,0,0,1,6,1,61,1,0
1,0,0,0,1,6,2,30,1,0
0,1,0,0,0,6,7,61,1,0
1,0,0,0,1,2.4,4,38,1,0
1,0,0,0,1,6,3,69,0,0
1,0,0,1,0,2.4,1,58,0,1
0,1,0,0,0,5,12,76,2,0
1,0,0,1,0,5,3,36,2,1
0,0,1,1,0,5,4,84,1,0
0,1,0,0,0,2.4,5,48,1,0
0,1,0,0,0,6,9,30,1,0
1,0,0,1,0,2.4,13,31,2,1
0,1,0,0,0,5,9,27,0,0
0,1,0,0,0,2.4,1,81,1,0
1,0,0,0,1,6,12,94,1,0
0,0,1,1,0,5,1,47,1,0
0,1,0,0,0,5,6,83,0,0
0,1,0,0,0,2.4,7,50,1,0
0,1,0,0,0,2.4,4,73,0,0
1,0,0,0,1,2.4,2,75,2,0
0,1,0,0,0,6,5,41,2,0
0,1,0,0,0,5,4,33,2,0
0,1,0,0,0,2.4,13,77,2,0
1,0,0,0,1,5,1,70,0,0
1,0,0,0,1,2.4,6,76,1,0
0,1,0,0,0,5,4,58,1,0
1,0,0,0,1,5,2,26,2,0
0,1,0,0,0,5,8,50,0,0
0,0,1,0,1,6,8,55,2,0
0,0,1,1,0,5,13,58,0,0
0,1,0,0,0,6,9,87,2,0
0,1,0,0,0,5,4,80,2,0
1,0,0,1,0,2.4,10,90,1,1
1,0,0,0,1,5,9,86,2,0
0,1,0,0,0,5,10,76,1,0
1,0,0,0,1,5,5,75,2,0
0,1,0,0,0,6,7,23,2,0
0,1,0,0,0,2.4,13,64,2,0
0,1,0,0,0,5,8,84,1,0
0,1,0,0,0,5,5,42,0,0
0,1,0,0,0,2.4,9,94,2,0
1,0,0,1,0,6,10,40,1,1
0,1,0,0,0,5,8,57,1,0
0,0,1,0,1,5,10,28,2,0
0,0,1,1,0,2.4,6,51,0,0
0,1,0,0,0,6,13,61,0,0
0,1,0,0,0,6,2,67,0,0
0,1,0,0,0,2.4,5,63,0,0
1,0,0,0,1,6,7,43,1,0
0,0,1,0,1,5,6,36,2,0
1,0,0,0,1,2.4,5,78,2,0
0,1,0,0,0,2.4,11,69,0,0
0,1,0,0,0,5,7,93,1,0
0,1,0,0,0,2.4,9,85,0,0
0,0,1,0,1,2.4,11,36,0,0
0,1,0,0,0,2.4,13,46,0,0
0,1,0,0,0,6,9,33,1,0
0,1,0,0,0,2.4,13,90,1,0
0,0,1,0,1,5,2,52,2,0
1,0,0,0,1,5,4,37,2,0
0,1,0,0,0,6,9,93,2,0
0,1,0,0,0,5,6,99,0,0
0,0,1,1,0,5,6,54,2,0
1,0,0,1,0,6,5,72,1,1
0,1,0,0,0,5,8,69,1,0
0,1,0,0,0,2.4,2,30,0,0
0,1,0,0,0,6,12,95,2,0
1,0,0,0,1,2.4,12,56,2,0
0,0,1,1,0,2.4,8,31,2,0
0,0,1,0,1,2.4,7,69,2,0
0,0,1,1,0,5,3,71,2,0
